task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_loss,backbone_cpt,k1,k2,freeze_model_weights,use_truncated_backward
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-05,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-1_mem_layers_w2r_shared_separate_mem/run_1,False,all,True,,10000,2.700955390930176,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-06,1,1,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-06_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-2_fix_align_separate_mem/run_1,False,,False,,10000,2.9006454944610596,,-1.0,2.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHead,decoder,5e-06,1,4,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-1_fix_align_mem_layers_shared_freeze_all_separate_mem/run_1,False,all,True,,10000,9.71584415435791,,-1.0,1.0,True,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,0.0001,1,1,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-04_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters5000_regular_bptt-1_mem_layers_r2r_shared_freeze_all_separate_mem/run_1,False,all,True,,950,2.832847833633423,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters20000_regular/run_1,-1.0,1.0,True,True
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,1e-05,1,4,linear,999,1,1024,25.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_999-1024-1x1024_mem25_bs32_iters10000_regular/run_1,False,,False,,5900,2.956768274307251,,,,,
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,1e-05,1,4,constant_with_warmup,1014,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_constant_with_warmup_adamw_wd1e-03_1014-1024-1x1024_mem10_bs32_iters10000_regular/run_1,False,,False,,10000,2.6999926567077637,,,,,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,5e-06,1,1,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-2_fix_align_separate_mem/run_1,False,,False,,10000,2.724156618118286,,-1.0,2.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,0.0001,4,1,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-04_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters5000_regular_bptt-1_fix_align_mem_layers_shared_freeze_all_separate_mem/run_1,False,all,True,,5000,5.1362810134887695,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters20000_regular/run_1,-1.0,1.0,True,True
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,5e-06,1,1,constant_with_warmup,492,1,512,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_492-512-1x512_mem10rw_bs32_iters25000_regular_bptt-2_fix_align/run_1,False,,False,,0,96.7366943359375,,-1.0,2.0,,True
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,5e-06,1,1,constant_with_warmup,492,1,512,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_492-512-1x512_mem10rw_bs32_iters25000_regular_bptt-2_fix_align/run_1,False,,False,,0,92.22189331054688,,-1.0,2.0,,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHead,decoder,5e-06,4,4,constant_with_warmup,974,1,1024,25.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_974-1024-1x1024_mem25rw_bs32_iters25000_regular_bptt-2_fix_align/run_1,False,,False,,25000,2.693101167678833,,-1.0,2.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-05,1,1,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-2_fix_align_mem_layers_shared_separate_mem/run_1,False,all,True,,10000,2.684810161590576,,-1.0,2.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHead,decoder,5e-06,2,1,linear,974,1,1024,25.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_linear_adamw_wd1e-03_974-1024-1x1024_mem25rw_bs32_iters20000_regular_bptt-2_fix_align/run_1,False,,False,,20000,2.697856903076172,,-1.0,2.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-06,1,1,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-06_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-2_fix_align_mem_layers_shared_separate_mem/run_1,False,all,True,,10000,2.7787976264953613,,-1.0,2.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-05,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-1_fix_align_mem_layers_shared_separate_mem/run_1,False,all,True,,10000,2.6908020973205566,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-05,1,1,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters5000_regular_bptt-1_mem_layers_r2r_shared_freeze_all_separate_mem/run_1,False,all,True,,5000,2.755753993988037,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters20000_regular/run_1,-1.0,1.0,True,True
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,1e-05,1,4,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters15000_regular/run_1,False,,False,,15000,2.6922085285186768,,,,,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,5e-06,1,1,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-2_fix_align_mem_layers_shared_separate_mem/run_1,False,all,True,,10000,2.6948983669281006,,-1.0,2.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-06,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-06_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-1_fix_align_mem_layers_shared_separate_mem/run_1,False,all,True,,10000,2.822321653366089,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHead,decoder,5e-06,2,4,constant_with_warmup,974,1,1024,25.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_974-1024-1x1024_mem25rw_bs32_iters25000_regular_bptt-1_fix_align/run_1,False,,False,,25000,2.693920850753784,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-06,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-06_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-1_fix_align_separate_mem/run_1,False,,False,,10000,2.8933138847351074,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-05,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-1_mem_layers_w2r_shared_separate_mem_from_cpt/run_1,False,all,True,,8200,2.6953985691070557,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters20000_regular/run_1,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,0.0001,1,4,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-04_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters5000_regular_bptt-1_mem_layers_w2r_shared_freeze_all_separate_mem/run_1,False,all,True,,5000,2.7343456745147705,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters20000_regular/run_1,-1.0,1.0,True,True
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,5e-06,1,4,constant_with_warmup,924,1,1024,50.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_924-1024-1x1024_mem50rw_bs32_iters25000_regular_bptt-1_fix_align/run_1,False,,False,,25000,2.700582504272461,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,5e-06,1,4,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters15000_regular/run_1,False,,False,,15000,2.6933534145355225,,,,,
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,5e-06,1,4,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters25000_regular/run_1,False,,False,,25000,2.6917824745178223,,,,,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,0.001,4,1,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-03_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters5000_regular_bptt-1_fix_align_mem_layers_shared_freeze_all_separate_mem/run_1,False,all,True,,5000,5.361865520477295,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters20000_regular/run_1,-1.0,1.0,True,True
wikitext-2-v1,gpt2,,modeling_rmt:RMTDecoderForCausalLM,decoder,1e-05,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters15000_regular/run_1,False,,False,,15000,2.707594394683838,,,,,
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderLMHead,decoder,5e-06,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr5e-06_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters20000_regular_bptt-1_fix_align/run_1,False,,False,,20000,2.6960818767547607,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,4,linear,1024,1,1024,,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters5000_constant_with_warmup/run_2,False,,False,,4500,2.7005462646484375,,-1.0,-1.0,False,False
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-05,1,4,linear,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters10000_regular_bptt-1_fix_align_separate_mem/run_1,False,,False,,10000,2.7042787075042725,,-1.0,1.0,False,True
wikitext-2-v1,gpt2,,modeling_rmt.language_modeling:RMTDecoderMemoryLayers,decoder,1e-05,1,1,constant_with_warmup,1004,1,1024,10.0,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_constant_with_warmup_adamw_wd1e-03_1004-1024-1x1024_mem10rw_bs32_iters5000_regular_bptt-1_mem_layers_w2r_shared_freeze_all_separate_mem/run_1,False,all,True,,5000,2.773043394088745,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters20000_regular/run_1,-1.0,1.0,True,True
wikitext-2-v1,gpt2,,transformers:AutoModelForCausalLM,decoder,1e-05,1,4,linear,1024,1,1024,,regular,../runs/test/wikitext-2-v1/gpt2/lr1e-05_linear_adamw_wd1e-03_1024-1024-1x1024_memNA_bs32_iters5000_regular/run_3,False,,False,,2900,2.7129712104797363,,-1.0,-1.0,False,False
